"Region","State","Score","YOY","DOM","Ratio","MedPrice","Sales"
"Springfield, IL","IL","84","33.33","26","0.952","200000","129"
"Rochester, NY","NY","80","10.87","15","0.872","249450","388"
"State College, PA","PA","79","17.56","19","0.568","416700","50"
"Batavia, NY","NY","78","17.1","25","0.895","220000","23"
"Rockford, IL","IL","72","10.69","23","0.819","220000","187"
"Lewistown, PA","PA","71","16.53","31","0.553","182950","20"
"Lebanon, PA","PA","71","17.54","31","0.569","353750","72"
"Van Wert, OH","OH","70","26.48","43","0.638","181500","18"
"Erie, PA","PA","65","13.3","30","0.719","192500","113"
"Seneca Falls, NY","NY","65","12","27","0.64","209950","10"
"Waterloo, IA","IA","64","16.36","48","0.521","197812","102"
"Sioux City, IA","IA","64","19.05","49","0.525","250000","77"
"Reading, PA","PA","64","7.99","23","0.827","341800","155"
"Kalamazoo, MI","MI","64","19.96","46","0.602","287900","137"
"Springfield, OH","OH","64","15.98","42","0.552","225000","91"
"Muskegon, MI","MI","64","16.74","42","0.602","251000","122"
"Wooster, OH","OH","64","18.03","50","0.578","270000","43"
"Crawfordsville, IN","IN","64","19.45","40","0.719","218000","39"
"Akron, OH","OH","58","10.8","40","0.561","228250","374"
"Bloomington, IL","IL","58","10.62","45","0.522","250000","82"
"Racine, WI","WI","58","10.37","49","0.589","330000","123"
"Marshall, MN","MN","58","12.9","36","0.586","210000","10"
"Cleveland, OH","OH","58","8.7","42","0.557","250000","1076"
"South Bend, IN","IN","58","11.67","43","0.526","217750","200"
"Holland, MI","MI","58","8.35","48","0.614","357450","58"
"Elkhart, IN","IN","58","14.16","38","0.618","270000","87"
"Fort Wayne, IN","IN","58","8.51","42","0.586","255000","337"
"Mansfield, OH","OH","58","10.38","46","0.61","184750","65"
"Warren, MI","MI","57","5.8","29","0.52","347004","2154"
"La Crosse, WI","WI","57","5.78","33","0.701","312000","74"
"Cleveland, OH","OH","57","7.97","29","0.607","267132","1582"
"Lancaster, PA","PA","57","5.88","26","0.646","397000","181"
"Baltimore, MD","MD","50","6.67","49","0.529","480000","1005"
"Columbia, MO","MO","50","6.7","45","0.568","335000","165"
"Springfield, MA","MA","50","5.26","37","0.586","350000","250"
"Bay City, MI","MI","50","5.52","39","0.561","150000","55"
"Peoria, IL","IL","50","6.16","40","0.738","155000","290"
"Baltimore, MD","MD","50","6.28","36","0.55","509355","1464"
"Lewiston, ME","ME","50","6.78","48","0.738","315000","53"
