region_type,region,state,period,yoy,dom,ratio,med_price
metro,"Athens, OH metro area",OH,2026-02-28,21.76,124,0.454,201750
metro,"Cañon City, CO metro area",CO,2026-02-28,3.68,136,0.188,352500
metro,"Modesto, CA metro area",CA,2026-02-28,-1.09,35,0.527,455000
metro,"Rolla, MO metro area",MO,2026-02-28,28.36,93,0.349,285600
metro,"Pensacola, FL metro area",FL,2026-02-28,0.65,91,0.287,325000
metro,"Kirksville, MO metro area",MO,2026-02-28,29.92,87,0.406,185000
metro,"Grenada, MS metro area",MS,2026-02-28,150.19,129,0.176,128850
metro,"Provo, UT metro area",UT,2026-02-28,0.61,71,0.395,518990
metro,"Akron, OH metro area",OH,2026-02-28,11.0,40,0.554,222000
metro,"Corinth, MS metro area",MS,2026-02-28,98.31,92,0.333,299450
metro,"Monroe, LA metro area",LA,2026-02-28,20.82,56,0.426,235000
metro,"Ames, IA metro area",IA,2026-02-28,18.52,51,0.434,320000
metro,"Marietta, OH metro area",OH,2026-02-28,9.14,110,0.367,215000
metro,"Warren, PA metro area",PA,2026-02-28,6.43,77,0.216,111750
metro,"Selinsgrove, PA metro area",PA,2026-02-28,8.62,88,0.371,219950
metro,"Hannibal, MO metro area",MO,2026-02-28,-8.31,101,0.277,155500
metro,"Shawnee, OK metro area",OK,2026-02-28,0.85,94,0.368,220500
metro,"Sheridan, WY metro area",WY,2026-02-28,-18.43,55,0.225,379250
metro,"Dothan, AL metro area",AL,2026-02-28,-0.41,98,0.322,245000
metro,"Shelbyville, TN metro area",TN,2026-02-28,18.78,110,0.302,379990
metro,"Kahului, HI metro area",HI,2026-02-28,-21.2,120,0.122,985000
metro,"Lake Havasu City, AZ metro area",AZ,2026-02-28,0.56,69,0.307,362000
metro,"Mineral Wells, TX metro area",TX,2026-02-28,-12.0,66,0.152,330000
metro,"San Luis Obispo, CA metro area",CA,2026-02-28,5.99,57,0.357,972500
metro,"Pierre, SD metro area",SD,2026-02-28,6.0,63,0.234,265000
metro,"Fairbanks, AK metro area",AK,2026-02-28,-24.93,118,0.311,257500
metro,"Hickory, NC metro area",NC,2026-02-28,3.45,87,0.281,300000
